GeneralRating,NumberOfVotes,NumberOfWhiskies,Distilleries,Links
84.64,4209,256,Royal Lochnagar,https://www.whiskybase.com/whiskies/distillery/99/royal-lochnagar
82.78,17,4,Saxa Vord,https://www.whiskybase.com/whiskies/distillery/84636/saxa-vord
85.15,6085,472,Scapa,https://www.whiskybase.com/whiskies/distillery/100/scapa
83.68,4733,389,Speyburn,https://www.whiskybase.com/whiskies/distillery/122/speyburn
84.26,4916,494,Speyside Distillery,https://www.whiskybase.com/whiskies/distillery/153/speyside-distillery
88.43,123277,5395,Springbank,https://www.whiskybase.com/whiskies/distillery/82/springbank
0.00,,,Springside Distillery,https://www.whiskybase.com/whiskies/distillery/90250/springside-distillery
88.95,4126,235,St. Magdalene,https://www.whiskybase.com/whiskies/distillery/163/st-magdalene
62.50,7,2,Starlaw,https://www.whiskybase.com/whiskies/distillery/89461/starlaw
0.00,,,Stirling Distillery,https://www.whiskybase.com/whiskies/distillery/92381/stirling-distillery
0.00,,,Stornoway (Ness),https://www.whiskybase.com/whiskies/distillery/86701/stornoway-ness
85.95,2769,314,Strathclyde,https://www.whiskybase.com/whiskies/distillery/184/strathclyde
84.60,807,114,Strathearn,https://www.whiskybase.com/whiskies/distillery/83269/strathearn
79.56,12,3,Stratheden,https://www.whiskybase.com/whiskies/distillery/86282/stratheden
87.63,10992,792,Strathisla,https://www.whiskybase.com/whiskies/distillery/121/strathisla
84.79,6700,636,Strathmill,https://www.whiskybase.com/whiskies/distillery/120/strathmill
88.50,9,3,Stromness,https://www.whiskybase.com/whiskies/distillery/89076/stromness
86.44,53558,1183,Talisker,https://www.whiskybase.com/whiskies/distillery/50/talisker
0.00,,,Tallant,https://www.whiskybase.com/whiskies/distillery/86703/tallant
85.91,13951,793,Tamdhu,https://www.whiskybase.com/whiskies/distillery/119/tamdhu
84.21,4775,334,Tamnavulin,https://www.whiskybase.com/whiskies/distillery/78/tamnavulin
85.73,13036,836,Teaninich,https://www.whiskybase.com/whiskies/distillery/79/teaninich
78.77,14,5,The Borders Distillery,https://www.whiskybase.com/whiskies/distillery/88694/the-borders-distillery
0.00,,,The Cairn,https://www.whiskybase.com/whiskies/distillery/94309/the-cairn
82.34,320,16,The Clydeside Distillery,https://www.whiskybase.com/whiskies/distillery/88242/the-clydeside-distillery
84.12,1818,91,The Glasgow Distillery Co.,https://www.whiskybase.com/whiskies/distillery/85968/the-glasgow-distillery-co
84.36,2095,132,The Lindores Distilling Co. Ltd.,https://www.whiskybase.com/whiskies/distillery/87534/the-lindores-distilling-co-ltd
0.00,,,Toberanrigh Distillery,https://www.whiskybase.com/whiskies/distillery/90253/toberanrigh-distillery
86.50,53579,2253,Tobermory,https://www.whiskybase.com/whiskies/distillery/115/tobermory
85.78,29711,1553,Tomatin,https://www.whiskybase.com/whiskies/distillery/80/tomatin
84.95,10192,629,Tomintoul,https://www.whiskybase.com/whiskies/distillery/139/tomintoul
86.56,2101,34,Torabhaig,https://www.whiskybase.com/whiskies/distillery/87595/torabhaig
85.94,8538,671,Tormore,https://www.whiskybase.com/whiskies/distillery/118/tormore
0.00,,,Toulvaddie,https://www.whiskybase.com/whiskies/distillery/87425/toulvaddie
84.33,11710,987,Tullibardine,https://www.whiskybase.com/whiskies/distillery/117/tullibardine
0.00,,,Union Distillery,https://www.whiskybase.com/whiskies/distillery/90255/union-distillery
0.00,,,West Highland Distillery,https://www.whiskybase.com/whiskies/distillery/90248/west-highland-distillery
0.00,,1,Wester,https://www.whiskybase.com/whiskies/distillery/95711/wester
85.06,6930,242,Wolfburn,https://www.whiskybase.com/whiskies/distillery/83268/wolfburn
